species,geo_distance,env_distance,phylo_distance
Alethe diademata,9158169.17977109,3.1522902690240366,128.96170167225637
Alipiopsitta xanthops,9478440.493765207,3.2615847063505563,160.2503752800557
Alisterus amboinensis,10527580.328802517,5.01039865632447,160.2161263720726
Alisterus chloropterus,10539844.258065423,7.260672345265348,160.2163234587827
Alisterus scapularis,10565172.652995486,3.739909973506655,160.2161263720726
Alle alle,9484096.743399786,7.694386121286206,165.61453016337205
Alophoixus bres,10536585.408950694,4.542268571110431,129.61374395172766
Alophoixus finschii,10531652.898584628,5.331234821542152,129.61931064362423
Alophoixus flaveolus,9965742.035860937,3.07306937490798,129.61374395172766
Alophoixus ochraceus,10388851.79240407,3.206039556210621,129.61527712378492
Alophoixus pallidus,10174395.9030045,3.0597334350201204,129.61527712378492
Alophoixus phaeocephalus,10529634.631904097,5.267191028439216,129.62082579354347
Alopochelidon fucata,9613442.08967426,3.0595803238256543,129.73782904175866
Alopochen aegyptiaca,8914686.408096505,4.386694117880468,187.57949824975844
Amadina erythrocephala,9166179.516103381,4.7742129748658195,128.32956825966707
Amadina fasciata,8969697.381255642,4.456784934550236,128.32956825966707
Amalocichla incerta,10532876.039091708,5.427060260570936,135.125931812692
Amalocichla sclateriana,10523717.177678665,9.842607998533436,135.125931812692
Amandava amandava,9816432.236289866,3.3845720044092853,128.35777663899958
Amandava formosa,9659809.348363636,3.760184804637616,128.35824113715034
Amandava subflava,9015855.776695713,3.3237208422178592,128.35777663899958
Amaurolimnas concolor,9586110.872384004,4.158762357737493,167.09187836880002
Amaurornis isabellina,10542454.692631043,3.922902056308672,167.1172157528895
Amaurornis magnirostris,10543398.596983027,7.713850819349325,167.11406446096507
Amaurornis moluccana,10525490.728345577,4.442700185665481,167.1164046738698
Amaurornis olivacea,10470894.735916818,4.04889775315237,167.11406446396376
Amaurornis phoenicurus,9946806.9954256,3.1655811640895557,167.11477272075612
Amaurospiza moesta,9546127.498630803,3.029811382243241,126.96183802380472
Amazilia amabilis,9560630.82847276,4.380684226162272,162.5199768584918
Amazilia amazilia,9684705.655775884,4.657728531616464,162.520995017077
Amazilia beryllina,9952311.130774444,3.5636469277978375,162.52762610550437
Amazilia boucardi,9630051.38008063,6.787362759285661,162.52276526336004
Amazilia brevirostris,9481476.946381666,3.9077829902563805,162.5153662016258
Amazilia candida,9726091.439229714,3.0563689415846933,162.54304904387172
Amazilia castaneiventris,9501336.84169077,3.233472638407259,162.5153662016258
Amazilia chionogaster,9668864.14453532,3.750549197433134,162.51664729886514
Amazilia cyanifrons,9524350.626369787,3.264325180913109,162.5413778244133
Amazilia cyanocephala,9754192.043376254,3.0352167799678873,162.51972763424232
Amazilia cyanura,9679080.804538518,3.546502712482888,162.5204265683956
Amazilia decora,9625526.829275096,5.141309784612248,162.51981700677212
Amazilia edward,9580622.480343718,3.4767845328086167,162.5204265683956
Amazilia fimbriata,9487660.010901863,3.9088177901918706,162.5156262219677
Amazilia franciae,9527564.265504615,3.1041487677063087,162.5214361668138
Amazilia lactea,9476939.597252442,3.05507242657153,162.51565687832658
